Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
Al Límite,2 nominations.,0,2,0,0,0,0,0,0,0,0
101 East,36 wins & 20 nominations.,36,20,0,0,0,0,0,0,0,0
Savage Grace,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
30 Days of Night,12 nominations.,0,12,0,0,0,0,0,0,0,0
The Rules,1 win.,1,0,0,0,0,0,0,0,0,0
Run; Fatboy; Run,3 nominations.,0,3,0,0,0,0,0,0,0,0
Go with Peace Jamil,5 wins & 6 nominations.,5,6,0,0,0,0,0,0,0,0
Death Race,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
The Tender Hook,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
Theresa: The Body of Christ,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Things We Lost in the Fire,4 wins & 1 nomination.,4,1,0,0,0,0,0,0,0,0
Sex and Death 101,1 win.,1,0,0,0,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian,2 wins & 19 nominations.,2,19,0,0,0,0,0,0,0,0
Aliens vs. Predator: Requiem,4 nominations.,0,4,0,0,0,0,0,0,0,0
Into the Wild,Nominated for 2 Oscars. Another 23 wins & 99 nominations.,23,101,0,2,0,0,0,0,0,0
Redline,1 nomination.,0,1,0,0,0,0,0,0,0,0
Across the River to Motor City,3 wins & 6 nominations.,3,6,0,0,0,0,0,0,0,0
Blessed Is the Match: The Life and Death of Hannah Senesh,1 win.,1,0,0,0,0,0,0,0,0,0
The End,1 win.,1,0,0,0,0,0,0,0,0,0
Superbad,10 wins & 24 nominations.,10,24,0,0,0,0,0,0,0,0
2030 - Aufstand der Alten,1 nomination.,0,1,0,0,0,0,0,0,0,0
Chak de! India,26 wins & 18 nominations.,26,18,0,0,0,0,0,0,0,0
Adventures in Hollyhood,1 nomination.,0,1,0,0,0,0,0,0,0,0
La France,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
A Life Interrupted,2 nominations.,0,2,0,0,0,0,0,0,0,0
Doubt,Nominated for 5 Oscars. Another 26 wins & 88 nominations.,26,93,0,5,0,0,0,0,0,0
Super Amigos,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Accident,1 win & 4 nominations.,1,4,0,0,0,0,0,0,0,0
Dance of the Dead,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Trapped,3 nominations.,0,3,0,0,0,0,0,0,0,0
Rock of Love with Bret Michaels,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
ABC Colombia,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
4Real,1 nomination.,0,1,0,0,0,0,0,0,0,0
Operation Homecoming: Writing the Wartime Experience,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,2,5,0,1,0,0,0,0,0,0
Tell-Tale,1 win.,1,0,0,0,0,0,0,0,0,0
Aurora boreal,5 nominations.,0,5,0,0,0,0,0,0,0,0
'Da Kink in My Hair,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Tit for Tat,1 nomination.,0,1,0,0,0,0,0,0,0,0
Witless Protection,4 nominations.,0,4,0,0,0,0,0,0,0,0
About a Girl,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
Addiction,1 nomination.,0,1,0,0,0,0,0,0,0,0
Alguien te mira,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
After the Catch,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Surprise!,2 wins.,2,0,0,0,0,0,0,0,0,0
