Title,Awards,Total_Awards_Won,Total_Awards_Nominated,Prime_Awards_Nominated,Oscar_Awards_Nominated,Golden_Globe_Awards_Nominated,BAFTA_Awards_Nominated,Prime_Awards_Won,Oscar_Awards_Won,Golden_Globe_Awards_Won,BAFTA_Awards_Won
A Very Murray Christmas,Nominated for 2 Primetime Emmys. Another 3 nominations.,0,5,2,0,0,0,0,0,0,0
Gay Healers,1 nomination.,0,1,0,0,0,0,0,0,0,0
Fight or Flight,4 wins.,4,0,0,0,0,0,0,0,0,0
End of the World,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Ray,1 nomination.,0,1,0,0,0,0,0,0,0,0
Treasure: From Tragedy to Trans Justice Mapping a Detroit Story,1 nomination.,0,1,0,0,0,0,0,0,0,0
Dead Air,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
American Epic,2 nominations.,0,2,0,0,0,0,0,0,0,0
Saint Amour,1 nomination.,0,1,0,0,0,0,0,0,0,0
Picking Up the Pieces,1 win.,1,0,0,0,0,0,0,0,0,0
Bunk'd,1 nomination.,0,1,0,0,0,0,0,0,0,0
Becoming Us,1 nomination.,0,1,0,0,0,0,0,0,0,0
Boy Machine,1 nomination.,0,1,0,0,0,0,0,0,0,0
Breakthrough,Nominated for 1 Primetime Emmy. Another 1 win.,1,1,1,0,0,0,0,0,0,0
The Black Bear,1 win.,1,0,0,0,0,0,0,0,0,0
Storks,2 wins.,2,0,0,0,0,0,0,0,0,0
Peter Kay's Car Share,6 wins & 6 nominations.,6,6,0,0,0,0,0,0,0,0
Victor XX,4 nominations.,0,4,0,0,0,0,0,0,0,0
Catching Milat,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Cradle to Grave,2 nominations.,0,2,0,0,0,0,0,0,0,0
Children's Song,1 nomination.,0,1,0,0,0,0,0,0,0,0
Ties That Bind,3 wins & 1 nomination.,3,1,0,0,0,0,0,0,0,0
Interview with a Free Man,1 nomination.,0,1,0,0,0,0,0,0,0,0
Harold and Lillian: A Hollywood Love Story,1 nomination.,0,1,0,0,0,0,0,0,0,0
Rebellion,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
Money,5 wins & 13 nominations.,5,13,0,0,0,0,0,0,0,0
American Lawmen,1 nomination.,0,1,0,0,0,0,0,0,0,0
Jermaine,1 nomination.,0,1,0,0,0,0,0,0,0,0
Slash,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Wild Life,1 win.,1,0,0,0,0,0,0,0,0,0
Fallout 4,3 wins & 2 nominations.,3,2,0,0,0,0,0,0,0,0
Bahama Blue,1 nomination.,0,1,0,0,0,0,0,0,0,0
Father's Day,1 nomination.,0,1,0,0,0,0,0,0,0,0
Bangkok Nites,2 nominations.,0,2,0,0,0,0,0,0,0,0
Veteran,3 wins & 22 nominations.,3,22,0,0,0,0,0,0,0,0
Invisible; Inc.,1 nomination.,0,1,0,0,0,0,0,0,0,0
Operation: Neighborhood Watch!,1 win.,1,0,0,0,0,0,0,0,0,0
C'est Wow,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Death of a Security Guard,2 wins.,2,0,0,0,0,0,0,0,0,0
Bloedbroeders: Blood Brothers,1 nomination.,0,1,0,0,0,0,0,0,0,0
Chicken People,1 nomination.,0,1,0,0,0,0,0,0,0,0
Mother's Day,2 nominations.,0,2,0,0,0,0,0,0,0,0
Under Fire,1 win.,1,0,0,0,0,0,0,0,0,0
Hasret: Sehnsucht,1 win & 3 nominations.,1,3,0,0,0,0,0,0,0,0
The Queen of Ireland,2 wins & 3 nominations.,2,3,0,0,0,0,0,0,0,0
The Intervention,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Judgement Day,1 nomination.,0,1,0,0,0,0,0,0,0,0
On Football,4 nominations.,0,4,0,0,0,0,0,0,0,0
Mama,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Yellow Fieber,2 nominations.,0,2,0,0,0,0,0,0,0,0
Pirates,1 nomination.,0,1,0,0,0,0,0,0,0,0
Lena Fauch - Du sollst nicht töten,1 nomination.,0,1,0,0,0,0,0,0,0,0
Forever Young,1 nomination.,0,1,0,0,0,0,0,0,0,0
How to Get a Date,1 win.,1,0,0,0,0,0,0,0,0,0
Winter on Fire: Ukraine's Fight for Freedom,Nominated for 1 Oscar. Another 1 win & 3 nominations.,1,4,0,1,0,0,0,0,0,0
Bacon & God's Wrath,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
In Jackson Heights,1 win & 7 nominations.,1,7,0,0,0,0,0,0,0,0
LEGO DC Super Heroes: Justice League - Attack of the Legion of Doom!,1 nomination.,0,1,0,0,0,0,0,0,0,0
Silicon Cowboys,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
The Visitor,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
One of Us,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
Prologue,Nominated for 1 Oscar. Another 1 nomination.,0,2,0,1,0,0,0,0,0,0
Risk,1 nomination.,0,1,0,0,0,0,0,0,0,0
The 67th Primetime Emmy Awards,1 nomination.,0,1,0,0,0,0,0,0,0,0
Middle School: The Worst Years of My Life,1 nomination.,0,1,0,0,0,0,0,0,0,0
A Regra do Jogo,1 win & 10 nominations.,1,10,0,0,0,0,0,0,0,0
Patricia Heaton Parties,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
Arslan Senki,1 nomination.,0,1,0,0,0,0,0,0,0,0
Celia,1 nomination.,0,1,0,0,0,0,0,0,0,0
Felix Manalo,5 wins & 10 nominations.,5,10,0,0,0,0,0,0,0,0
Dogs,4 wins & 5 nominations.,4,5,0,0,0,0,0,0,0,0
Chewing Gum,4 wins.,4,0,0,0,0,0,0,0,0,0
The Pact,1 nomination.,0,1,0,0,0,0,0,0,0,0
Britain's Forgotten Slave Owners,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
Harvest Lake,3 wins.,3,0,0,0,0,0,0,0,0,0
Mark & Russell's Wild Ride,1 win.,1,0,0,0,0,0,0,0,0,0
Funeral,1 win.,1,0,0,0,0,0,0,0,0,0
I; Daniel Blake,6 wins.,6,0,0,0,0,0,0,0,0,0
Hello Kitty World of Friends,1 nomination.,0,1,0,0,0,0,0,0,0,0
Arthur,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
Wanted,1 nomination.,0,1,0,0,0,0,0,0,0,0
Composers on Composing,1 win.,1,0,0,0,0,0,0,0,0,0
StarCraft II: Legacy of the Void,4 nominations.,0,4,0,0,0,0,0,0,0,0
The End,1 nomination.,0,1,0,0,0,0,0,0,0,0
Marco Polo: One Hundred Eyes,1 nomination.,0,1,0,0,0,0,0,0,0,0
Home Sweet Home,1 win.,1,0,0,0,0,0,0,0,0,0
Tyrese Gibson: Shame,1 win.,1,0,0,0,0,0,0,0,0,0
Belief,1 nomination.,0,1,0,0,0,0,0,0,0,0
I Am Yup'ik,1 nomination.,0,1,0,0,0,0,0,0,0,0
Eat That Question: Frank Zappa in His Own Words,1 win.,1,0,0,0,0,0,0,0,0,0
Norman Lear: Just Another Version of You,5 wins.,5,0,0,0,0,0,0,0,0,0
The Sound of Music Live,1 win.,1,0,0,0,0,0,0,0,0,0
After the Storm,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Passion,1 nomination.,0,1,0,0,0,0,0,0,0,0
The Division: Agent Origins,1 nomination.,0,1,0,0,0,0,0,0,0,0
Hold On,1 win.,1,0,0,0,0,0,0,0,0,0
The Shining Star of Losers Everywhere,1 nomination.,0,1,0,0,0,0,0,0,0,0
Solitaires. Le bal des sauvages,1 win.,1,0,0,0,0,0,0,0,0,0
Mama,1 nomination.,0,1,0,0,0,0,0,0,0,0
Flume Featuring Andrew Wyatt: Some Minds,2 nominations.,0,2,0,0,0,0,0,0,0,0
Zusammen Allein,1 nomination.,0,1,0,0,0,0,0,0,0,0
Strike a Pose,2 nominations.,0,2,0,0,0,0,0,0,0,0
Houston; We Have a Problem,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Close Encounters with Vilmos Zsigmond,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Return,2 wins & 2 nominations.,2,2,0,0,0,0,0,0,0,0
Hearts of Spring,2 wins & 1 nomination.,2,1,0,0,0,0,0,0,0,0
A Single Girl's Guide To...,1 nomination.,0,1,0,0,0,0,0,0,0,0
Day 5,1 nomination.,0,1,0,0,0,0,0,0,0,0
Business,1 nomination.,0,1,0,0,0,0,0,0,0,0
Limbo,2 nominations.,0,2,0,0,0,0,0,0,0,0
Ukraine on Fire,1 win.,1,0,0,0,0,0,0,0,0,0
Cinema Dom Dinis,1 win.,1,0,0,0,0,0,0,0,0,0
I Wanna Be with You,1 nomination.,0,1,0,0,0,0,0,0,0,0
Fish Out of Water,1 nomination.,0,1,0,0,0,0,0,0,0,0
Camp Unplug,2 nominations.,0,2,0,0,0,0,0,0,0,0
The Baulkham Hills African Ladies Troupe,2 nominations.,0,2,0,0,0,0,0,0,0,0
Me,1 nomination.,0,1,0,0,0,0,0,0,0,0
Caged,1 win & 1 nomination.,1,1,0,0,0,0,0,0,0,0
SoulMate,7 nominations.,0,7,0,0,0,0,0,0,0,0
